h,sentiment_score,sntmnt,body,sentiment_score2,sntmnt2
"
Woodford protÈgÈ Mark Barnett fired from £1.3bn investment trust
",0,Neutral,"Embattled investor Mark Barnett has been fired from running the £1.3bn Edinburgh Investment Trust due to poor performance. Investment trusts, unlike open-ended funds, have independent boards that can hand assets to another company if it sees fit. Mark Barnett, who works for American fund house Invesco, has run the trust since 2014 after taking over from his mentor and colleague Neil Woodford. He ran the investments in the same style as his predecessor,†aiming to provide a growing income by investing in undervalued British companies known as ""value stocks,†with a preference for smaller businesses. This style of investing has been out of favour for some time, particularly since the Brexit referendum in June 2016. Since then, the trust's share price has fallen by 10pc while the FTSE All Share index, a broad measure of the British stock market, has risen 32pc. Rival equity income trusts have enjoyed share price total returns of 26pc on average. ",0,Neutral
"






Live

Politics latest news: Boris Johnson rows back on appetite for 'Australia style' Brexit deal
",-0.375,Negative,"The Government is rowing back on its desire to strike an Australia-style deal with the European Union, Boris Johnson has suggested, as the deadline for reaching an agreement with the bloc nears. The Prime Minister said the UK could ""more than live with"" an Australia-style arrangement, which could involve a general ""framework"" agreement to cooperate on†trade, foreign policy†and development. Mr Johnson has previously held up the deals negotiated by Australia and Canada as potential models for the UK to follow. His comments on Sunday suggest officials are now more interested in a Canada-style deal than that of Australia. ""All we're asking our friends and partners to offer is terms that they've already offered to Canada which is you know a long way away from here,"" he told the BBC. ""We're very close to our European friends and partners, we've been members of the EU for 45 years, I see no reason why we shouldn't get those sorts of terms."" ""I don't want the Australian-WTO type outcome, particularly, but we can more than live with it."" The deadline of the middle of October for negotiating a free trade agreement is nearing, with both sides suggesting a deal is still technically possible but acknowledging disagreements over fisheries and state aid. Follow the latest updates below. ",-0.25,Negative
"
Chairman of election watchdog is forced out
",-0.25,Negative,"The chairman of the election watchdog is being forced to stand down after the body drew fury from the Conservatives over a botched attempt to hand itself powers to prosecute political parties. Sir John Holmes is understood to have been told by MPs that he cannot continue in the role - after seeking to extend his four-year term beyond December. The Electoral Commission is also now shelving plans to acquire powers to prosecute scores of criminal offences itself, rather than referring suspected breaches to the police and Crown ≠Prosecution Service. It comes after the Conservatives raised ""serious concerns""ù about the leadership and accountability of the watchdog, over the proposals, which Amanda Milling, the party chairman, said would have amounted to the body ""marking its own homework""ù. Writing in The Sunday Telegraph in August, Ms Milling said: ""The commission should be focusing on improving its core functions, not trying to expand its empire. If the commission fails to make these changes and do the job it was set up to do then the only option would be to abolish it.""ù This weekend, a commission spokesman said the body had ""paused""ù the move, stating that ""we do not currently have broad stakeholder understanding and consent""ù. Sir John, who has chaired the commission since 2017, faced criticism when this newspaper revealed in 2018 that, months after being nominated as the body's chairman, he said in a speech that he ""regret[ted] the result""ù of the 2016 Brexit referendum and complained about ""the panoply of Eurosceptic nonsense about the EU""ù heard during the campaign. Brexiteers have repeatedly accused the commission of bias against pro-Leave campaigners. Sir John is understood to have informed the Speaker's committee on the Electoral Commission, which oversees the body, that he wished to continue in his role beyond the initial four-year term. His predecessor, Jenny Watson, served for two terms, totalling eight years. But the former civil servant's request was turned down after members of the panel concluded that ""all is not well""ù at the commission, according to a source familiar with the discussions. Last week, the committee began the process of appointing a replacement, with a public recruitment campaign expected to begin shortly. Under the Political Parties and Elections Act, the chairman cannot be a member of a political party, or anyone who has served as an MP or donated to a party in the last five years. Sir John gave the commissioners' endorsement to the push by Bob Posner, the body's chief executive, to hand itself powers to prosecute parties and campaign groups - now ""paused""ù. A spokesman for the commission said: ""We thank him for his leadership of and commitment to the commission over the past four years and for all his work in support of the UK's democratic processes.""ù The spokesman added: ""We planned to consult later this year on changes to our enforcement policy, which would have included a draft prosecution ≠policy. However, while we have had positive discussions with a range of stakeholders, we do not currently have broad stakeholder understanding and consent. ""We hope to build consensus in due course, but our current focus is to work to prepare for the polls taking place next May, to ensure that these elections can be delivered safely and effectively. We have therefore paused this work.""ù ",-0.375,Negative
"
Majority of Tory voters believe Boris Johnson should curb European human rights laws†according to poll
",0.25,Positive,"A majority of Conservative voters believe Boris Johnson should curb European human rights laws after the UK's independence from the EU, according to a poll. A survey of 1,500 Tory voters shows that more than half of those who voted for the Tories last year would back human rights reforms, while a similar proportion believe the current stamp duty holiday should be extended beyond its scheduled end in March. The findings form part of a poll in which voters who backed the Conservatives last year gave their view on Boris Johnson's performance ahead of the party's annual conference this weekend. Overall, 60 per cent said they approved of Mr Johnson's performance since becoming Prime Minister, while 20 per cent disapproved. Some 74 per cent approved of Rishi Sunak's performance as Chancellor since he replaced Sajid Javid in February, compared to just 7 per cent who disapproved. However, in a result that will cause concern in Downing Street, one in four Tory voters said they could potentially see themselves voting for Sir Keir Starmer's Labour Party at the next election. ",0.5,Positive
"
Boris Johnson and Ursula von der Leyen take charge as Brexit talks reach end-game
",0.125,Positive,"Boris Johnson and Ursula von der Leyen will hold direct conversations ""on a regular basis"" in the hope of reaching a compromise on trade talks as the clock ticks down.† It is hoped the pair, who have not spoken since June, will be able to inject some much-needed political momentum as the post-Brexit trade talks enter the end-game, in the run-up to the European Council summit in the middle of this month.† During their scheduled video conference call today the Prime Minister and European Commission president also agreed that negotiators must intensify talks,†acknowledging that ""significant gaps remained"" with just a fortnight left to close them.† A Downing Street spokesman said: ""They agreed on the importance of finding an agreement, if at all possible, as a strong basis for a strategic EU-UK relationship in future. ""They endorsed the assessment of both chief negotiators that progress had been made in recent weeks but that significant gaps remained, notably but not only in the areas of fisheries, the level playing field, and governance. ""They instructed their chief negotiators to work intensively in order to try to bridge those gaps,"" the spokesman said.†""They agreed to speak on a regular basis on this issue."" See below for the rest of the day's news ",0.125,Positive
"
Boris Johnson and Ursula von der Leyen 'to take stock of trade negotiations and discuss next steps'
",0,Neutral,"Boris Johnson will hold urgent talks with the president of the European Commission on Saturday afternoon, after his top Brexit official warned trade negotiation would fail unless the EU caved over fishing rights.† The Prime Minister and Ursula von der Leyen will hold their first conference call on Brexit since June ""to take stock of negotiations and discuss next steps,""ù a Number 10 spokesman said. † News of the video conference call came as the last scheduled round of UK-EU trade negotiations ended in Brussels. The pound rose by as much 0.5 percent on the hopes it would bring a breakthrough. ""Where there is a will, there is a way so I think we should intensify the negotiations,"" said Mrs von der Leyen, who will put the prime minister under pressure to soften the British position on access to UK waters after the end of the Brexit transition period.† Mrs von der Leyen on Friday said neither side could afford no deal during the coronavirus pandemic. But she demanded concessions over level playing field commitments on state aid laws and the enforcement of the trade deal.† She wants a stricter system of enforcement of subsidy law and a way to ensure standards stay up to date.† British negotiators will hope Mr Johnson will convince Mrs von der Leyen to begin intensive and secret †""tunnel talks""ù in the run up to the October 15 EU summit. † ""On fisheries the gap between us is unfortunately very large and, without further realism and flexibility from the EU risks being impossible to bridge,"" warned David Frost, the UK's chief negotiator after the ninth round of talks. A British compromise offer of a three year transition period for fishing quotas, with the UK share increasing over time, fell short of EU expectations this week. France, in particular, is pushing hard for a permanent quota system. Michel Barnier, the EU's negotiator, said there had been ""positive new developments"" in police cooperation and aviation safety but ""persistent serious divergences on matters of major importance for the European Union.""† Angela Merkel, the German Chancellor, said, ""As long as negotiations are ongoing I remain optimistic [...] It will be a crucial phase over the next few days."" ""The EU needs to hear at the highest level that the UK government is serious about a deal,""ù one diplomatic source said. Getting a deal finalised by the end of October would give the EU time to ratify the deal before January 1 and avoid no deal, which would mean trading on less lucrative WTO terms.† ",0,Neutral
"
EU threatens to cut off City unless it gets answers over regulation after Brexit
",0.125,Positive,"Brussels will refuse the City of London access to the EU's market from next year unless the UK sets out its plans to diverge from the bloc's financial rules.† Mairead McGuinness, an Irish centre-right MEP, is the candidate to be the EU's financial services commissioner. If approved by the European Parliament†- which is expected†- she will be the City's gatekeeper to the Single Market.† The Fine Gael politician and former member of the parliament's Brexit Steering Group, told MEPs at a hearing into her candidacy that Brussels needed answers from the UK.† ""[We're] trying to get from the authorities in the United Kingdom to some idea of their vision for their financial services sector,"" she said. ""We do not know what the intention of the United Kingdom is, particularly on financial services, but we do know they plan to diverge."" Equivalence is the system of regulatory recognition that will govern UK financial services in the EU after the end of the Brexit transition period on December 31. It replaces the EU ""passport"" which UK firms and those in EU member states currently enjoy.† ",0.125,Positive
"
Brexit's Internal Market Bill explained: what is it, and why is it so controversial?
",0,Neutral,"This was first published in The Telegraph's Refresher newsletter. For more facts and explanation behind the week's biggest political stories,†sign up to the Refresher here†- straight to your inbox every Wednesday afternoon for free. Aroused from their slumbers with hackles up, the backbench pack were prepared to show some teeth. It was the chairman of the 1922 committee who seemed to sum up the mood. ""If you keep whacking a dog, don't be surprised when it bites you back,""ù Sir Charles Walker warned before joining 29 of his colleagues to abstain on the Government's new Brexit legislation. Boris Johnson might have gone on to clear a crucial Commons hurdle over the Internal Market Bill, but rebels believe many MPs have simply decided to ""hold their fire""ù. The controversial Bill has stoked up division inside the Conservative Party that is reminiscent of the high-stakes Brexit brinkmanship we witnessed last year. But this time it goes further than Leave or Remain. Prominent Eurosceptics, such as Lord Howard and former attorney general Geoffrey Cox, have raised their concerns over the Government's admission that the Bill, if enacted, would break international law. That it would be, as Brandon Lewis, the Northern Ireland Secretary insisted, in a ""very specific and limited way""ù did little to alleviate their fears. To date, all living former Prime Ministers, five ex-Conservative party leaders and 30 of the party's MPs have expressed their discomfort. Ministers (well, most of them) are standing firm. In the Commons on Monday 14 September, Mr Johnson insisted the legislation was necessary to prevent the EU taking an ""extreme and unreasonable"" interpretation of the provisions in the Withdrawal Agreement relating to Northern Ireland. The Prime Minister warned that some in Brussels were now threatening to block UK agri-food exports to the EU, and to insist on tariffs on all goods moving to Northern Ireland from the rest of the UK. ""Absurd and self-defeating as that action would be even as we debate this matter, the EU still have not taken this revolver off the table,"" he said. However, Ed Miliband, shadow business secretary, repeatedly asked the Prime Minister to explain how the Bill would protect Northern Ireland from the threat of a potential food blockade. ""I know you're a details man. Show me the blockade. I will give way to you,""ù Mr Miliband scoffed, but the Prime Minister merely shook his head in disdain. Amal Clooney, the famous human rights lawyer, resigned as the UK's special envoy on media freedom in protest at the Government's plan to break international law with the Internal Market Bill. She called the Bill ""lamentable"". The UK's internal market dates back to the early 1700s, when it was created to ensure ""open and unhindered trade""ù across the four nations. But when the UK joined the then-European Economic Community in 1973, most of the British trade laws were replaced by European laws. It was Margaret Thatcher's government in the 1980s that helped to forge the formal creation of the single market between EU nations. It was designed to open European markets to British exporters and to level the playing field for UK firms across the continent. Regarding all EU member states as one territory, the bloc devised rules about everything from food standards to fisheries to ensure consistency across the bloc. The Internal Market Bill is its proposed replacement, aiming to ensure all four of the UK's home nations are not limited by regulations determined by each devolved Government. It also aims to guarantee the international community has access to the UK as a whole, knowing the standards and rules are the same throughout. One of the major issues is how this can apply to Northern Ireland when it shares a border with the Republic of Ireland, which will remain in the EU. This where the controversy kicks in. The Bill could contradict the Withdrawal Agreement, and therefore international law, as it says ministers could have the power to ""disapply"" previously agreed rules relating to the movement of goods. This includes those under the Northern Ireland Protocol. On September 22, an amendment tabled by the Government to head off a Tory backbench rebellion was accepted without the need for a vote, clearing the Commons committee stage. The proposal imposes†a ""parliamentary lock"" on any changes to the Withdrawal Agreement, giving Parliament the final say on whether it is appropriate to renege on the treaty. However, while the legislation will return to the Commons next week, ministers intend to delay its final stages in the House of Lords until after a crunch EU summit in mid-October where they hope to sign off on a trade deal.† This would likely mean that the Bill would not return to the Commons again until December, just weeks before the transition period ends. Originally Downing Street threatened to withdraw the whip from rebels who defied the Government, but made significant concessions when it accepted changes to the Bill in line with their demands. For some, including Theresa May, it isn't enough to allow Parliament a say over whether international law is broken. There shouldn't be provision to break the law in the first place. Boris Johnson has got his Bill through the high-stakes first-round votes in the Commons, but he might not have seen the back of the rebels just yet.† ",0,Neutral
"
Stockpile pet food and plan emergency Brexit airlifts, animal charities tell Government
",-0.5,Negative,"Britain must stockpile pet food and livestock feed and plan for airlifts of medical supplies to protect animals from Brexit chaos next year, leading charities will warn on Wednesday.† The end of the Brexit transition period on December 31 could cause shortages of food for pets and livestock as well as other vital supplies, the 12 campaign groups said.† Even if there is a trade deal, delays and queues are expected at key ports such as Dover.† Disruption to medical supplies would not only be ""potentially devastating""ù for individual animals but make it harder to †""control disease outbreaks,""ù the 12 charities told†Environment Secretary George Eustice in a letter exclusively obtained by the Telegraph. ""We believe central and devolved governments need to make contingency plans for the stockpiling of veterinary medicines and animal feed,""ù the charities, who are part of the UK-EU animal welfare taskforce, said.† ""Central government should further explore the use of air freight [...] †to mitigate risks associated with veterinary medicine availability issues,""ù the taskforce said, raising the prospect of emergency airlifts of supplies from the EU.† Some government estimates for a no deal Brexit estimate queues of up to 7,000 lorries stretching into Kent. The animal welfare groups called for dedicated rest areas for animals along motorways, particularly the M20 in Kent, and at the ports themselves.† The charities, which included the RSPCA and Animal Defenders International, said that the UK imports two thirds of its animal feed and feed ingredients from the EU. It imports all of its pet food from the EU, they said, or makes it with EU ingredients. They called for a communication campaign for pet owners to ensure they had enough food for their animals.† The UK government and the governments of Northern Ireland, Wales and Scotland should build up reserves of farmed animal feed in case of supply chain disruption, they said. A minimum of four to 12 week's supplies of medicines needed to be stockpiled, the charities said.† The final scheduled round of Brexit trade negotiations began on Tuesday in Brussels amid cautious optimism that a deal could be struck by the October 15 EU Summit, if both sides compromise.† Even if a trade deal is agreed, there will need to be more border checks than now because the UK will have left the Single Market and Customs Union.† The change will be particularly pronounced in Northern Ireland, which will continue to be subject to EU animal health rules after the end of the transition period.† That is necessary to prevent a hard border on the island of Ireland but it means that Northern Irish cats, dogs and ferrets will have different pet passports to those on the British mainland.† ""Pet passports for cats, dogs and ferrets will be required as standard when crossing the Irish Sea,""ù the charities said in their letter before calling for updated travel advice for owners. †† The Telegraph understands that EU officials are in the process of designing the Northern Irish pet passport. It is expected to be blue and will not have any reference to the United Kingdom on it.† British cats, dogs and ferrets will have to show a UK pet passport before travelling to Northern Ireland.† That will be designed by British officials, if the EU lists the UK as a country where it is safe for pets to visit from.† ",-0.125,Negative
"
Banks must give customers 'fair warning' before closing expat accounts, MPs warn
",-0.125,Negative,"Banks planning to close down accounts of Britons living in the EU because of Brexit must give customers sufficient warning to make other arrangements, an influential group of MPs has said. Mel Stride of the Treasury Select Committee, which scrutinises HM Treasury, has written to the head of the Financial Conduct Authority, Chris Woolard, asking the regulator to set out how much notice it expects banks to give to customers, if they are planning to terminate services.† It comes after this newspaper broke the story at the beginning of September that Britain's biggest bank Lloyds, which also owns Halifax and Bank of Scotland, is closing†13,000 expat retail and business accounts in Holland, Ireland, Italy, Portugal, Germany and Slovakia from November.† Other banks are preparing to make similar arrangements, but most†have stayed silent on how customers will be affected so far.† Mel Stride said banks had a duty to come clean on any changes as soon as possible and before they stripped expat clients of their ""only source of banking""ù.† ""Many British expats in the EU are being told that their UK bank accounts will be terminated at the end of the year. ""It's vital that they're given sufficient warning so that they have time to make alternative arrangements,""ù he said.† After Brexit,†banks will no longer be able to provide UK banking services to expats resident in EU countries unless they set up a separate legal entity in each region. This will create†additional costs for banks and they are instead cutting†services†in countries where it no longer makes financial sense to operate. Customers face a bank account closure lottery as it is impossible to know which bank will be maintaining services†and which will not. HSBC has a large number of customers in France and has already moved some business customers who still use a British bank account to its French arm. It is now considering applying for legal permission to continue to provide UK services in some countries, although is yet to announce any account closures and says retail customers are not affected. Its other large expat customer bases are in Germany and Switzerland.† Barclays is ""reviewing the situation""ù and has said it will write to any affected customers, but is yet to announce closures.† Both Santander and NatWest, which also owns Royal Bank of Scotland, said they were reviewing how Brexit talks were shaping up and currently had no intention to close any of their accounts. App-based bank Revolut, which is yet to acquire a banking license, said its customers will not be affected as it operates under separate European ""e-money""ù institution rules. ",-0.125,Negative
